Wavenumber (cm^-1),Absorption,,
3090.1,1.50E-21,,
3090.1,1.77E-21,,
3090,2.60E-21,,
3090,3.61E-21,,
3089.9,4.66E-21,,
3089.8,5.04E-21,,
3089.8,6.18E-21,,
3089.7,7.02E-21,,
3089.7,4.38E-21,,
3089.6,2.49E-21,,
3089.5,1.68E-21,,
3089.5,1.31E-21,,
3089.4,1.11E-21,,
3089.4,9.97E-22,,
3089.3,9.43E-22,,
3089.2,9.16E-22,,
3089.2,9.16E-22,,
3089.1,9.43E-22,,
3089.1,1.05E-21,,
3089,1.14E-21,,
3088.9,1.17E-21,,
3088.9,1.20E-21,,
3088.8,1.22E-21,,
3088.8,1.25E-21,,
3088.7,1.47E-21,,
3088.6,1.62E-21,,
3088.6,1.38E-21,,
3088.5,1.20E-21,,
3088.5,1.20E-21,,
3088.4,1.27E-21,,
3088.3,1.30E-21,,
3088.3,1.29E-21,,
3088.2,1.34E-21,,
3088.1,1.43E-21,,
3088.1,1.53E-21,,
3088,1.54E-21,,
3088,1.61E-21,,
3087.9,1.76E-21,,
3087.8,2.10E-21,,
3087.8,2.41E-21,,
3087.7,2.55E-21,,
3087.7,2.91E-21,,
3087.6,3.05E-21,,
3087.5,2.88E-21,,
3087.5,2.81E-21,,
3087.4,2.87E-21,,
3087.4,3.00E-21,,
3087.3,3.16E-21,,
3087.2,3.37E-21,,
3087.2,3.66E-21,,
3087.1,4.02E-21,,
3087.1,4.38E-21,,
3087,4.83E-21,,
3086.9,5.39E-21,,
3086.9,6.08E-21,,
3086.8,6.94E-21,,
3086.8,8.01E-21,,
3086.7,9.37E-21,,
3086.6,1.12E-20,,
3086.6,1.35E-20,,
3086.5,1.68E-20,,
3086.5,2.17E-20,,
3086.4,2.97E-20,,
3086.3,4.24E-20,,
3086.3,6.15E-20,,
3086.2,1.01E-19,,
3086.2,1.99E-19,,
3086.1,4.51E-19,,
3086,6.93E-19,,
3086,6.08E-19,,
3085.9,6.46E-19,,
3085.9,8.05E-19,,
3085.8,4.91E-19,,
3085.7,1.99E-19,,
3085.7,9.78E-20,,
3085.6,5.79E-20,,
3085.6,3.87E-20,,
3085.5,2.77E-20,,
3085.4,2.07E-20,,
3085.4,1.63E-20,,
3085.3,1.33E-20,,
3085.3,1.12E-20,,
3085.2,9.98E-21,,
3085.1,9.38E-21,,
3085.1,8.47E-21,,
3085,7.00E-21,,
3085,5.83E-21,,
3084.9,5.14E-21,,
3084.8,4.58E-21,,
3084.8,4.10E-21,,
3084.7,3.69E-21,,
3084.7,3.35E-21,,
3084.6,3.09E-21,,
3084.5,2.92E-21,,
3084.5,2.80E-21,,
3084.4,2.62E-21,,
3084.4,2.43E-21,,
3084.3,2.28E-21,,
3084.2,2.13E-21,,
3084.2,2.04E-21,,
3084.1,2.05E-21,,
3084.1,1.97E-21,,
3084,1.96E-21,,
3083.9,2.09E-21,,
3083.9,2.22E-21,,
3083.8,2.26E-21,,
3083.8,2.33E-21,,
3083.7,2.21E-21,,
3083.6,1.77E-21,,
3083.6,1.51E-21,,
3083.5,1.45E-21,,
3083.4,1.44E-21,,
3083.4,1.38E-21,,
3083.3,1.23E-21,,
3083.3,1.09E-21,,
3083.2,1.02E-21,,
3083.1,9.69E-22,,
3083.1,9.39E-22,,
3083,9.21E-22,,
3083,8.81E-22,,
3082.9,8.55E-22,,
3082.8,8.50E-22,,
3082.8,8.53E-22,,
3082.7,8.44E-22,,
3082.7,8.31E-22,,
3082.6,8.39E-22,,
3082.5,8.62E-22,,
3082.5,9.68E-22,,
3082.4,1.10E-21,,
3082.4,1.35E-21,,
3082.3,1.67E-21,,
3082.2,2.10E-21,,
3082.2,3.04E-21,,
3082.1,3.02E-21,,
3082.1,2.03E-21,,
3082,1.45E-21,,
3081.9,1.49E-21,,
3081.9,1.62E-21,,
3081.8,1.52E-21,,
3081.8,1.35E-21,,
3081.7,9.80E-22,,
3081.6,8.29E-22,,
3081.6,7.64E-22,,
3081.5,6.93E-22,,
3081.5,6.56E-22,,
3081.4,6.53E-22,,
3081.3,6.95E-22,,
3081.3,7.31E-22,,
3081.2,7.15E-22,,
3081.2,6.83E-22,,
3081.1,6.83E-22,,
3081,6.92E-22,,
3081,6.61E-22,,
3080.9,6.39E-22,,
3080.9,6.36E-22,,
3080.8,6.52E-22,,
3080.7,6.92E-22,,
3080.7,7.82E-22,,
3080.6,9.55E-22,,
3080.6,9.92E-22,,
3080.5,9.02E-22,,
3080.4,9.62E-22,,
3080.4,1.05E-21,,
3080.3,1.14E-21,,
3080.3,1.41E-21,,
3080.2,2.05E-21,,
3080.1,2.58E-21,,
3080.1,3.06E-21,,
3080,3.22E-21,,
3080,2.16E-21,,
3079.9,1.38E-21,,
3079.8,1.06E-21,,
3079.8,9.30E-22,,
3079.7,8.66E-22,,
3079.7,8.49E-22,,
3079.6,8.47E-22,,
3079.5,8.59E-22,,
3079.5,8.93E-22,,
3079.4,9.81E-22,,
3079.4,1.14E-21,,
3079.3,1.41E-21,,
3079.2,1.71E-21,,
3079.2,1.84E-21,,
3079.1,1.97E-21,,
3079,2.62E-21,,
3079,3.06E-21,,
3078.9,2.33E-21,,
3078.9,2.11E-21,,
3078.8,2.57E-21,,
3078.7,3.10E-21,,
3078.7,2.62E-21,,
3078.6,1.76E-21,,
3078.6,1.49E-21,,
3078.5,1.42E-21,,
3078.4,1.44E-21,,
3078.4,1.49E-21,,
3078.3,1.57E-21,,
3078.3,1.64E-21,,
3078.2,1.73E-21,,
3078.1,1.88E-21,,
3078.1,2.04E-21,,
3078,2.17E-21,,
3078,2.35E-21,,
3077.9,2.55E-21,,
3077.8,2.81E-21,,
3077.8,3.08E-21,,
3077.7,3.32E-21,,
3077.7,3.66E-21,,
3077.6,4.11E-21,,
3077.5,4.71E-21,,
3077.5,5.48E-21,,
3077.4,6.44E-21,,
3077.4,7.68E-21,,
3077.3,9.13E-21,,
3077.2,1.06E-20,,
3077.2,1.27E-20,,
3077.1,1.60E-20,,
3077.1,2.15E-20,,
3077,3.12E-20,,
3076.9,4.77E-20,,
3076.9,7.39E-20,,
3076.8,1.34E-19,,
3076.8,2.88E-19,,
3076.7,4.83E-19,,
3076.6,4.95E-19,,
3076.6,5.17E-19,,
3076.5,3.63E-19,,
3076.5,1.54E-19,,
3076.4,7.60E-20,,
3076.3,4.44E-20,,
3076.3,2.93E-20,,
3076.2,2.13E-20,,
3076.2,1.68E-20,,
3076.1,1.37E-20,,
3076,1.12E-20,,
3076,9.63E-21,,
3075.9,8.24E-21,,
3075.9,6.69E-21,,
3075.8,5.58E-21,,
3075.7,4.77E-21,,
3075.7,4.19E-21,,
3075.6,3.74E-21,,
3075.6,3.39E-21,,
3075.5,3.11E-21,,
3075.4,2.89E-21,,
3075.4,2.69E-21,,
3075.3,2.45E-21,,
3075.3,2.27E-21,,
3075.2,2.16E-21,,
3075.1,2.01E-21,,
3075.1,1.84E-21,,
3075,1.71E-21,,
3075,1.61E-21,,
3074.9,1.57E-21,,
3074.8,1.49E-21,,
3074.8,1.36E-21,,
3074.7,1.28E-21,,
3074.7,1.25E-21,,
3074.6,1.28E-21,,
3074.5,1.37E-21,,
3074.5,1.30E-21,,
3074.4,1.13E-21,,
3074.3,1.04E-21,,
3074.3,9.89E-22,,
3074.2,9.61E-22,,
3074.2,9.61E-22,,
3074.1,9.96E-22,,
3074,1.08E-21,,
3074,1.12E-21,,
3073.9,1.12E-21,,
3073.9,1.14E-21,,
3073.8,1.22E-21,,
3073.7,1.25E-21,,
3073.7,1.44E-21,,
3073.6,1.93E-21,,
3073.6,2.40E-21,,
3073.5,2.27E-21,,
3073.4,2.29E-21,,
3073.4,2.43E-21,,
3073.3,2.22E-21,,
3073.3,2.31E-21,,
3073.2,2.58E-21,,
3073.1,2.25E-21,,
3073.1,1.55E-21,,
3073,1.15E-21,,
3073,9.53E-22,,
3072.9,9.07E-22,,
3072.8,9.15E-22,,
3072.8,1.10E-21,,
3072.7,1.50E-21,,
3072.7,1.93E-21,,
3072.6,2.04E-21,,
3072.5,2.05E-21,,
3072.5,1.70E-21,,
3072.4,1.12E-21,,
3072.4,8.32E-22,,
3072.3,7.16E-22,,
3072.2,6.77E-22,,
3072.2,6.57E-22,,
3072.1,7.10E-22,,
3072.1,8.04E-22,,
3072,8.70E-22,,
3071.9,8.03E-22,,
3071.9,7.15E-22,,
3071.8,6.94E-22,,
3071.8,7.17E-22,,
3071.7,7.65E-22,,
3071.6,8.16E-22,,
3071.6,8.52E-22,,
3071.5,8.57E-22,,
3071.5,1.01E-21,,
3071.4,1.29E-21,,
3071.3,1.51E-21,,
3071.3,1.54E-21,,
3071.2,1.24E-21,,
3071.2,1.01E-21,,
3071.1,1.00E-21,,
3071,9.61E-22,,
3071,9.71E-22,,
3070.9,1.08E-21,,
3070.9,1.03E-21,,
3070.8,9.61E-22,,
3070.7,1.04E-21,,
3070.7,1.33E-21,,
3070.6,1.86E-21,,
3070.6,2.00E-21,,
3070.5,1.84E-21,,
3070.4,1.68E-21,,
3070.4,1.69E-21,,
3070.3,2.04E-21,,
3070.3,2.55E-21,,
3070.2,3.00E-21,,
3070.1,2.87E-21,,
3070.1,2.29E-21,,
3070,1.75E-21,,
3069.9,1.44E-21,,
3069.9,1.28E-21,,
3069.8,1.26E-21,,
3069.8,1.33E-21,,
3069.7,1.39E-21,,
3069.6,1.42E-21,,
3069.6,1.49E-21,,
3069.5,1.69E-21,,
3069.5,1.83E-21,,
3069.4,1.98E-21,,
3069.3,2.06E-21,,
3069.3,2.30E-21,,
3069.2,2.69E-21,,
3069.2,2.46E-21,,
3069.1,2.06E-21,,
3069,1.94E-21,,
3069,1.98E-21,,
3068.9,2.04E-21,,
3068.9,2.09E-21,,
3068.8,2.21E-21,,
3068.7,2.37E-21,,
3068.7,2.58E-21,,
3068.6,2.82E-21,,
3068.6,3.13E-21,,
3068.5,3.41E-21,,
3068.4,3.66E-21,,
3068.4,3.96E-21,,
3068.3,4.39E-21,,
3068.3,4.85E-21,,
3068.2,5.38E-21,,
3068.1,6.08E-21,,
3068.1,6.96E-21,,
3068,8.06E-21,,
3068,9.41E-21,,
3067.9,1.12E-20,,
3067.8,1.35E-20,,
3067.8,1.69E-20,,
3067.7,2.15E-20,,
3067.7,2.83E-20,,
3067.6,3.92E-20,,
3067.5,5.83E-20,,
3067.5,9.31E-20,,
3067.4,1.66E-19,,
3067.4,3.57E-19,,
3067.3,7.08E-19,,
3067.2,7.89E-19,,
3067.2,5.86E-19,,
3067.1,3.14E-19,,
3067.1,1.47E-19,,
3067,8.04E-20,,
3066.9,5.07E-20,,
3066.9,3.48E-20,,
3066.8,2.54E-20,,
3066.8,1.94E-20,,
3066.7,1.55E-20,,
3066.6,1.27E-20,,
3066.6,1.06E-20,,
3066.5,8.97E-21,,
3066.5,7.75E-21,,
3066.4,6.72E-21,,
3066.3,5.95E-21,,
3066.3,5.32E-21,,
3066.2,4.74E-21,,
3066.2,4.25E-21,,
3066.1,3.85E-21,,
3066,3.50E-21,,
3066,3.20E-21,,
3065.9,2.94E-21,,
3065.9,2.71E-21,,
3065.8,2.51E-21,,
3065.7,2.34E-21,,
3065.7,2.20E-21,,
3065.6,2.09E-21,,
3065.6,1.99E-21,,
3065.5,1.87E-21,,
3065.4,1.75E-21,,
3065.4,1.65E-21,,
3065.3,1.56E-21,,
3065.2,1.48E-21,,
3065.2,1.42E-21,,
3065.1,1.38E-21,,
3065.1,1.33E-21,,
3065,1.27E-21,,
3064.9,1.21E-21,,
3064.9,1.14E-21,,
3064.8,1.08E-21,,
3064.8,1.04E-21,,
3064.7,1.00E-21,,
3064.6,9.71E-22,,
3064.6,9.46E-22,,
3064.5,9.23E-22,,
3064.5,9.03E-22,,
3064.4,8.82E-22,,
3064.3,8.82E-22,,
3064.3,9.04E-22,,
